Дата;Чисельність населення 
08.05.2017 0:00;2928177
09.05.2017 0:00;2928177
10.05.2017 0:00;2928177
11.05.2017 0:00;2928177
12.05.2017 0:00;2928177
13.05.2017 0:00;2928177
14.05.2017 0:00;2928177
15.05.2017 0:00;2928177
16.05.2017 0:00;2928177
17.05.2017 0:00;2928177
18.05.2017 0:00;2928177
19.05.2017 0:00;2928177
20.05.2017 0:00;2928177
21.05.2017 0:00;2928177
22.05.2017 0:00;2928177
23.05.2017 0:00;2928177
24.05.2017 0:00;2928177
25.05.2017 0:00;2928177
26.05.2017 0:00;2928177
27.05.2017 0:00;2928177
28.05.2017 0:00;2928177
29.05.2017 0:00;2928177
30.05.2017 0:00;2928177
31.05.2017 0:00;2928177
01.06.2017 0:00;2928177
02.06.2017 0:00;2927590
03.06.2017 0:00;2927590
04.06.2017 0:00;2927590
05.06.2017 0:00;2927590
06.06.2017 0:00;2927590
07.06.2017 0:00;2927590
08.06.2017 0:00;2927590
09.06.2017 0:00;2927590
10.06.2017 0:00;2927590
11.06.2017 0:00;2927590
12.06.2017 0:00;2927590
13.06.2017 0:00;2927590
14.06.2017 0:00;2927590
15.06.2017 0:00;2927590
16.06.2017 0:00;2927590
17.06.2017 0:00;2927590
18.06.2017 0:00;2927590
19.06.2017 0:00;2927590
20.06.2017 0:00;2927590
21.06.2017 0:00;2927590
22.06.2017 0:00;2927590
23.06.2017 0:00;2927590
24.06.2017 0:00;2927590
25.06.2017 0:00;2927590
26.06.2017 0:00;2927590
27.06.2017 0:00;2927590
28.06.2017 0:00;2927590
29.06.2017 0:00;2927590
30.06.2017 0:00;2927590
01.07.2017 0:00;2927590
02.07.2017 0:00;2926930
03.07.2017 0:00;2926930
04.07.2017 0:00;2926930
05.07.2017 0:00;2926930
06.07.2017 0:00;2926930
07.07.2017 0:00;2926930
08.07.2017 0:00;2926930
09.07.2017 0:00;2926930
10.07.2017 0:00;2926930
11.07.2017 0:00;2926930
12.07.2017 0:00;2926930
13.07.2017 0:00;2926930
14.07.2017 0:00;2926930
15.07.2017 0:00;2926930
16.07.2017 0:00;2926930
17.07.2017 0:00;2926930
18.07.2017 0:00;2926930
19.07.2017 0:00;2926930
20.07.2017 0:00;2926930
21.07.2017 0:00;2926930
22.07.2017 0:00;2926930
23.07.2017 0:00;2926930
24.07.2017 0:00;2926930
25.07.2017 0:00;2926930
26.07.2017 0:00;2926930
27.07.2017 0:00;2926930
28.07.2017 0:00;2926930
29.07.2017 0:00;2926930
30.07.2017 0:00;2926930
31.07.2017 0:00;2926930
