"Показник","Територіальний розріз","Період","Значення cпостереження"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2008","162.3"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2009","158.4"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2010","165.6"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2011","164.4"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2012","157.8"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2013","142.7"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2014","128.2"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2015","157.5"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2016","68.2"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2017","83.5"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2018","162.9"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2019","132.3"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2020","105"
"Загальний коефіцієнт прибуття (всі потоки)","Чернігівська","2021","114.4"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2002","192"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2003","185.3"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2004","177.1"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2005","178.3"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2006","189.6"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2007","194.5"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2008","170.1"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2009","164.9"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2010","169.7"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2011","160"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2012","169.5"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2013","162.2"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2014","162.9"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2015","170.6"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2016","65.6"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2017","131"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2018","189.8"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2019","160.7"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2020","125.7"
"Загальний коефіцієнт прибуття (всі потоки)","Рівненська","2021","136.7"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2002","160.2"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2003","156.6"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2004","166.6"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2005","170"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2006","156.1"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2007","151.6"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2008","151.5"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2009","121.2"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2010","138.4"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2011","132.6"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2012","168.3"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2013","172"
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2014",""
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2015",""
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2016",""
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2017",""
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2018",""
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2019",""
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2020",""
"Загальний коефіцієнт прибуття (всі потоки)","Севастополь","2021",""
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2002","154.9"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2003","153.9"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2004","156.7"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2005","154.5"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2006","156.3"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2007","156.3"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2008","152.3"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2009","133"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2010","141.4"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2011","135.3"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2012","142.1"
"Загальний коефіцієнт прибуття (всі потоки)","Луганська","2013","136.1"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2002","148.5"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2003","148.2"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2004","154.9"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2005","146.4"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2006","142.4"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2007","144"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2008","130.3"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2009","119.2"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2010","130.8"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2011","128.7"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2012","135.4"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2013","126"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2014","107.3"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2015","101.7"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2016","22.3"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2017","44.6"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2018","106.7"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2019","98.8"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2020","77.6"
"Загальний коефіцієнт прибуття (всі потоки)","Запорізька","2021","80.5"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2002","126.1"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2003","112.3"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2004","119.3"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2005","115.6"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2006","114.8"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2007","117"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2008","111"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2009","108.3"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2010","124.4"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2011","122.6"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2012","127.7"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2013","125.5"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2014","108.9"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2015","136.5"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2016","66.5"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2017","110.1"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2018","149.3"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2019","121"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2020","92.2"
"Загальний коефіцієнт прибуття (всі потоки)","Івано-Франківська","2021","106.9"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2002","166.9"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2003","174.9"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2004","178.4"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2005","165.4"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2006","172.3"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2007","181.9"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2008","180.6"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2009","171.6"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2010","173.4"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2011","176.8"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2012","181.4"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2013","168.6"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2014","157.6"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2015","172.2"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2016","44.3"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2017","60.6"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2018","212.7"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2019","176.5"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2020","129.8"
"Загальний коефіцієнт прибуття (всі потоки)","Хмельницька","2021","135.2"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2002","125.6"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2003","124"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2004","127"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2005","128.5"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2006","129.3"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2007","125.9"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2008","121.7"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2009","115.7"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2010","125.1"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2011","118.7"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2012","129.1"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2013","120.2"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2014","110.8"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2015","124.2"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2016","122.5"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2017","114.9"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2018","153"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2019","139.4"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2020","103.4"
"Загальний коефіцієнт прибуття (всі потоки)","Львівська","2021","112.3"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2002","144.3"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2003","138.8"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2004","127.2"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2005","126.7"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2006","122"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2007","123.2"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2008","123"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2009","119.7"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2010","130.9"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2011","127.6"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2012","134.6"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2013","120.8"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2014","122.8"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2015","142.9"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2016","31.9"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2017","70.1"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2018","220.7"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2019","155.7"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2020","104.9"
"Загальний коефіцієнт прибуття (всі потоки)","Тернопільська","2021","124.5"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2002","152.2"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2003","149.6"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2004","147.1"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2005","152.8"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2006","151.5"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2007","145.5"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2008","138.8"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2009","137"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2010","138.1"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2011","136.2"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2012","129.5"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2013","121"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2014","125.2"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2015","118.7"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2016","28.9"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2017","46.9"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2018","114.8"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2019","113.6"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2020","83.5"
"Загальний коефіцієнт прибуття (всі потоки)","Херсонська","2021","86.5"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2002","149.2"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2003","137.4"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2004","129.2"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2005","121.6"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2006","115.1"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2007","118"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2008","115.1"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2009","116.4"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2010","168.8"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2011","154.9"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2012","167"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2013","159.5"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2014","147"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2015","152.5"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2016","86.6"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2017","114"
"Загальний коефіцієнт прибуття (всі потоки)","Кіровоградська","2018","160.3"
